
model_name,pc1,pc2,pc3
results/results_L1_Adam_lr0.001_0.96_5_3_LeNet300_OutputOnly (Epoch 10),-5.836996786724752,-21.632799713075755,-9.754854750869654
results/results_L1_Adam_lr0.001_0.96_5_3_LeNet300_OutputOnly (Epoch 15),-5.8447402379822035,-21.65222590521612,-9.68248839512064
results/results_L1_Adam_lr0.001_0.96_5_3_LeNet300_OutputOnly (Epoch 20),-5.848866879980963,-21.662925610826267,-9.643949592550586
results/results_L1_Adam_lr0.001_0.96_5_3_LeNet300_OutputOnly (Epoch 25),-5.851167059018405,-21.669446574151735,-9.621688390761422
results/results_L1_Adam_lr0.001_0.96_5_3_LeNet300_OutputOnly (Epoch 30),-5.852356890258437,-21.673558923213587,-9.608071165567297
results/results_L1_Adam_lr0.001_0.96_5_3_LeNet300_OutputOnly (Epoch 35),-5.852966300401406,-21.675988530630402,-9.599918554786894
results/results_L1_Adam_lr0.001_0.96_5_3_LeNet300_OutputOnly (Epoch 40),-5.853173832770585,-21.6772921115351,-9.595586326727776
results/results_L1_Adam_lr0.001_0.96_5_3_LeNet300_OutputOnly (Epoch 45),-5.853183049661182,-21.677990335020436,-9.593344352606342
results/results_L1_Adam_lr0.001_0.96_5_3_LeNet300_OutputOnly (Epoch 5),-5.821750235432486,-21.592931390083052,-9.909294169176562
results/results_L1_Adam_lr0.001_0.96_5_3_LeNet300_OutputOnly (Epoch 50),-5.852963519101579,-21.678270061982225,-9.592454271893413
results/results_L1_Adam_lr0.001_0.96_5_3_LeNet300_HiddenLayerOnly (Epoch 10),-6.686766332581994,-20.100584317867284,-11.306626485644228
results/results_L1_Adam_lr0.001_0.96_5_3_LeNet300_HiddenLayerOnly (Epoch 15),-6.661586095624909,-20.154902902026635,-11.347741273912456
results/results_L1_Adam_lr0.001_0.96_5_3_LeNet300_HiddenLayerOnly (Epoch 20),-6.642403383459606,-20.190088659275215,-11.358140579279677
results/results_L1_Adam_lr0.001_0.96_5_3_LeNet300_HiddenLayerOnly (Epoch 25),-6.621896636209815,-20.2258166754234,-11.373868370500361
results/results_L1_Adam_lr0.001_0.96_5_3_LeNet300_HiddenLayerOnly (Epoch 30),-6.614220748957366,-20.24260413567364,-11.36640023563402
results/results_L1_Adam_lr0.001_0.96_5_3_LeNet300_HiddenLayerOnly (Epoch 35),-6.601303590436599,-20.268799079744138,-11.3631240120615
results/results_L1_Adam_lr0.001_0.96_5_3_LeNet300_HiddenLayerOnly (Epoch 40),-6.591174831887856,-20.293801143139575,-11.357330085616827
results/results_L1_Adam_lr0.001_0.96_5_3_LeNet300_HiddenLayerOnly (Epoch 45),-6.578147516530507,-20.306214180545865,-11.356641293788428
results/results_L1_Adam_lr0.001_0.96_5_3_LeNet300_HiddenLayerOnly (Epoch 5),-6.694678253361208,-20.00967847394925,-11.216360855477971
results/results_L1_Adam_lr0.001_0.96_5_3_LeNet300_HiddenLayerOnly (Epoch 50),-6.564615011128921,-20.325040156589885,-11.356604087980664
results/results_L1_Adam_lr0.001_0.96_5_3_LeNet300_Full (Epoch 10),-4.470497289129466,-20.81769477410493,-11.32120811817949
results/results_L1_Adam_lr0.001_0.96_5_3_LeNet300_Full (Epoch 15),-4.503148558688492,-20.8613453782278,-11.355191639191595
results/results_L1_Adam_lr0.001_0.96_5_3_LeNet300_Full (Epoch 20),-4.547651293838608,-20.893871900715755,-11.372957316378008
results/results_L1_Adam_lr0.001_0.96_5_3_LeNet300_Full (Epoch 25),-4.5712711846089515,-20.92395206957686,-11.392867909715092
